Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4
73927,1082.44,397.72274422595854,237.1305103602131,1.677231426786025,0.8028206179929096,74724,306.8008797634654,0.8038863878558535,0.9893340827578824,0.7928760169592711,0.7713938521684401,0.0053799389157676,0.0011750647563171,0.5950484751632654,0.9980340030049324
59651,1028.745,421.9864556125202,180.9633150768312,2.3318895071819297,0.9033819854023792,60407,275.5902975124436,0.5822677312925834,0.9874848941347857,0.7082916432513819,0.6530785380597579,0.007074256183677,0.0007938202866216,0.4265115768742706,0.9945778708047308
57693,950.577,390.50118171959775,188.9061169300806,2.0671706563326007,0.8752045692518073,58352,271.0295353912664,0.671379695573244,0.9887064710721141,0.80233988644266,0.6940556087379043,0.0067686059265352,0.000968848932773,0.4817131880205429,0.9957833670444952
35955,683.377,242.6043169513601,188.87369212959385,1.284479136379139,0.6276127446210192,36232,213.96104278805703,0.7436247440590681,0.9923548244645617,0.967494358389172,0.8819341942334613,0.0067474431080895,0.0025180463474186,0.7778079229582249,0.9990780491502326
45692,773.948,267.3380448722435,218.1230134283185,1.225629706239587,0.5781829957708031,46025,241.1988003246265,0.7963330893373767,0.9927648017381858,0.9585758151522126,0.9022240004780896,0.0058508720316957,0.0023914310586817,0.8140081470386878,0.9976725661316572
25481,602.476,229.90306779051292,141.64123740966852,1.6231365384472394,0.7876748934953101,25814,180.1205619561428,0.7065494676131322,0.9871000232432013,0.8821589191709647,0.7834630641826327,0.0090225292488722,0.0020969214800216,0.61381437293844,0.9963045365404622
39395,735.469,276.9184076022403,182.24386115909115,1.5194937477784356,0.7529183600089302,39735,223.96265729992072,0.755112993808821,0.9914433119416132,0.9152130939481355,0.808767677234429,0.0070292780201101,0.0018551781820306,0.6541051557391736,0.9939086945353144
32179,667.081,248.19339038515344,165.45937147808178,1.5000261887132296,0.7453664027755783,32529,202.4143653746759,0.802508853309392,0.9892403701312675,0.9087099125771246,0.8155509905423493,0.0077128994184142,0.0021047567393165,0.6651234181746073,0.9977025459883716
43701,770.2629999999999,276.4757778884418,201.48405585409145,1.3721968059281926,0.6847708667997088,44144,235.8852291782412,0.7432901316460864,0.9899646611090975,0.9255996151782274,0.8531858775470051,0.0063265320676515,0.0020678551267813,0.7279261416456534,0.9988579265177986
71764,1021.427,396.28945060159487,232.02633612342817,1.7079503009123314,0.8106744786457983,72598,302.2792792904836,0.7052279874213836,0.9885120802225956,0.8643742771508418,0.762773974506772,0.0055221204308789,0.0011531056587203,0.5818241361848578,0.9937267084749852
63231,934.028,355.66255839822463,227.2279161876272,1.5652238702244057,0.7693012198042489,63775,283.73968642604274,0.7611589946070878,0.9914700117600941,0.9107939206439308,0.797777780444204,0.0056248131201186,0.0014054506661405,0.6364493869704807,0.996185772675886
37310,736.832,271.2325673743349,179.3587324016854,1.512235081852007,0.7501454658879751,38097,217.95542529166124,0.7255226057365095,0.9793422054229992,0.8635712110124699,0.8035739491078719,0.007269701618181,0.001869819757883,0.6457310916848207,0.9764972102883808
36137,703.387,240.49365440460232,191.502577508916,1.2558246344930026,0.6049156920683291,36540,214.5018821085134,0.7812391905914908,0.9889709906951286,0.917853323672656,0.8919232511126434,0.0066550531146637,0.0025980124661761,0.7955270858753475,0.9990425118486916
61302,957.18,335.877801110831,232.86076568432745,1.4423975637276585,0.7206585809709566,62348,279.3781139805961,0.740809667673716,0.9832231988195291,0.8408088546175694,0.8317849916148776,0.0054790675852473,0.0016178220107577,0.6918662722757621,0.9979462255558958
